stone	石头
stone_slab	石台阶
double_stone_block_slab	双石台阶
double_stone_block_slab	双石台阶
granite_stairs	花岗岩楼梯
diorite_stairs	闪长岩楼梯
andesite_stairs	安山岩楼梯
polished_granite_stairs	磨制花岗岩楼梯
polished_diorite_stairs	磨制闪长岩楼梯
polished_andesite_stairs	磨制安山岩楼梯
mossy_stone_brick_stairs	苔石砖楼梯
smooth_red_sandstone_stairs	平滑红砂岩楼梯
smooth_sandstone_stairs	平滑砂岩楼梯
end_brick_stairs	末地石砖楼梯
mossy_cobblestone_stairs	苔石楼梯
normal_stone_stairs	石头楼梯
spruce_standing_sign	云杉木告示牌
spruce_wall_sign	墙上的云杉木告示牌
smooth_stone	平滑石头
red_nether_brick_stairs	红色下界砖楼梯
smooth_quartz_stairs	平滑石英楼梯
birch_standing_sign	白桦木告示牌
birch_wall_sign	墙上的白桦木告示牌
jungle_standing_sign	丛林木告示牌
jungle_wall_sign	墙上的丛林木告示牌
acacia_standing_sign	金合欢木告示牌
acacia_wall_sign	墙上的金合欢木告示牌
darkoak_standing_sign	深色橡木告示牌
darkoak_wall_sign	墙上的深色橡木告示牌
lectern	讲台
grindstone	砂轮
blast_furnace	高炉
stonecutter_block	切石机
smoker	烟熏炉
lit_smoker	燃烧的烟熏炉
cartography_table	制图台
fletching_table	制箭台
smithing_table	锻造台
barrel	木桶
loom	织布机
bell	钟
sweet_berry_bush	甜浆果丛
lantern	灯笼
campfire	营火
lava_cauldron	装有熔岩的炼药锅
jigsaw	拼图方块
wood	木头
composter	堆肥桶
lit_blast_furnace	燃烧的高炉
light_block	光源方块
wither_rose	凋灵玫瑰
sticky_piston_arm_collision	黏性活塞臂
bee_nest	蜂巢
beehive	蜂箱
honey_block	蜂蜜块
honeycomb_block	蜜脾块
lodestone	磁石
crimson_roots	绯红菌索
warped_roots	诡异菌索
crimson_stem	绯红菌柄
warped_stem	诡异菌柄
warped_wart_block	诡异疣块
crimson_fungus	绯红菌
warped_fungus	诡异菌
shroomlight	菌光体
weeping_vines	垂泪藤
crimson_nylium	绯红菌岩
warped_nylium	诡异菌岩
basalt	玄武岩
polished_basalt	磨制玄武岩
soul_soil	灵魂土
soul_fire	灵魂火
nether_sprouts	下界苗
target	标靶
stripped_crimson_stem	去皮绯红菌柄
stripped_warped_stem	去皮诡异菌柄
crimson_planks	绯红木板
warped_planks	诡异木板
crimson_door	绯红木门
warped_door	诡异木门
crimson_trapdoor	绯红木活板门
warped_trapdoor	诡异木活板门
crimson_standing_sign	绯红木告示牌
warped_standing_sign	诡异木告示牌
crimson_wall_sign	墙上的绯红木告示牌
warped_wall_sign	墙上的诡异木告示牌
crimson_stairs	绯红木楼梯
warped_stairs	诡异木楼梯
crimson_fence	绯红木栅栏
warped_fence	诡异木栅栏
crimson_fence_gate	绯红木栅栏门
warped_fence_gate	诡异木栅栏门
crimson_button	绯红木按钮
warped_button	诡异木按钮
crimson_pressure_plate	绯红木压力板
warped_pressure_plate	诡异木压力板
crimson_slab	绯红木台阶
warped_slab	诡异木台阶
crimson_double_slab	双层绯红木台阶
warped_double_slab	双层诡异木台阶
soul_torch	灵魂火把
soul_lantern	灵魂灯笼
netherite_block	下界合金块
ancient_debris	远古残骸
respawn_anchor	重生锚
blackstone	黑石
polished_blackstone_bricks	磨制黑石砖
polished_blackstone_brick_stairs	磨制黑石砖楼梯
blackstone_stairs	黑石楼梯
blackstone_wall	黑石墙
polished_blackstone_brick_wall	磨制黑石砖墙
chiseled_polished_blackstone	雕纹磨制黑石
cracked_polished_blackstone_bricks	裂纹磨制黑石砖
gilded_blackstone	镶金黑石
blackstone_slab	黑石台阶
blackstone_double_slab	双层黑石台阶
polished_blackstone_brick_slab	磨制黑石砖台阶
polished_blackstone_brick_double_slab	双层磨制黑石砖台阶
chain	锁链
twisting_vines	缠怨藤
nether_gold_ore	下界金矿石
crying_obsidian	哭泣的黑曜石
soul_campfire	灵魂营火
polished_blackstone	磨制黑石
polished_blackstone_stairs	磨制黑石楼梯
polished_blackstone_slab	磨制黑石台阶
polished_blackstone_double_slab	双层磨制黑石台阶
polished_blackstone_pressure_plate	磨制黑石压力板
polished_blackstone_button	磨制黑石按钮
polished_blackstone_wall	磨制黑石墙
warped_hyphae	诡异菌核
crimson_hyphae	绯红菌核
stripped_crimson_hyphae	去皮绯红菌核
stripped_warped_hyphae	去皮诡异菌核
chiseled_nether_bricks	雕纹下界砖块
cracked_nether_bricks	裂纹下界砖块
quartz_bricks	石英砖
unknown	未知
powder_snow	细雪
sculk_sensor	幽匿感测体
pointed_dripstone	滴水石锥
copper_ore	铜矿石
lightning_rod	避雷针
dripstone_block	滴水石块
dirt_with_roots	缠根泥土
hanging_roots	垂根
moss_block	苔藓块
spore_blossom	孢子花
cave_vines	洞穴藤蔓
big_dripleaf	大型垂滴叶
azalea_leaves	杜鹃树叶
azalea_leaves_flowered	盛开的杜鹃树叶
calcite	方解石
amethyst_block	紫水晶块
budding_amethyst	紫水晶母岩
amethyst_cluster	紫水晶簇
large_amethyst_bud	大型紫晶芽
medium_amethyst_bud	中型紫晶芽
small_amethyst_bud	小型紫晶芽
tuff	凝灰岩
tinted_glass	遮光玻璃
moss_carpet	覆地苔藓
small_dripleaf	小型垂滴叶
azalea	杜鹃花丛
flowering_azalea	盛开的杜鹃花丛
glow_frame	荧光物品展示框
copper_block	铜块
exposed_copper	斑驳的铜块
weathered_copper	锈蚀的铜块
oxidized_copper	氧化的铜块
waxed_copper	涂蜡的铜块
waxed_exposed_copper	涂蜡的斑驳铜块
waxed_weathered_copper	涂蜡的锈蚀铜块
cut_copper	切制铜块
exposed_cut_copper	斑驳的切制铜块
weathered_cut_copper	锈蚀的切制铜块
oxidized_cut_copper	氧化的切制铜块
waxed_cut_copper	涂蜡的切制铜块
waxed_exposed_cut_copper	涂蜡的斑驳切制铜块
waxed_weathered_cut_copper	涂蜡的锈蚀切制铜块
cut_copper_stairs	切制铜楼梯
exposed_cut_copper_stairs	斑驳的切制铜楼梯
weathered_cut_copper_stairs	锈蚀的切制铜楼梯
oxidized_cut_copper_stairs	氧化的切制铜楼梯
waxed_cut_copper_stairs	涂蜡的切制铜楼梯
waxed_exposed_cut_copper_stairs	涂蜡的斑驳切制铜楼梯
waxed_weathered_cut_copper_stairs	涂蜡的锈蚀切制铜楼梯
cut_copper_slab	切制铜台阶
exposed_cut_copper_slab	斑驳的切制铜台阶
weathered_cut_copper_slab	锈蚀的切制铜台阶
oxidized_cut_copper_slab	氧化的切制铜台阶
waxed_cut_copper_slab	涂蜡的切制铜台阶
waxed_exposed_cut_copper_slab	涂蜡的斑驳切制铜台阶
waxed_weathered_cut_copper_slab	涂蜡的锈蚀切制铜台阶
double_cut_copper_slab	双切制铜台阶
exposed_double_copper_slab	斑驳的双切制铜台阶
weathered_double_cut_copper_slab	锈蚀的双切制铜台阶
oxidized_double_cut_copper_slab	氧化的双切制铜台阶
waxed_double_cut_copper_slab	涂蜡双切制铜台阶
waxed_exposed_double_cut_copper_slab	斑驳的涂蜡双切制铜台阶
waxed_weathered_double_cut_copper_slab	锈蚀的涂蜡双切制铜台阶
cave_vines_body_berries	洞穴藤蔓（带浆果）
cave_vines_head_berries	洞穴藤蔓首部（带浆果）
smooth_basalt	平滑玄武岩
deepslate	深板岩
cobbled_deepslate	深板岩圆石
cobbled_deepslate_slab	深板岩圆石台阶
cobbled_deepslate_stairs	深板岩圆石楼梯
cobbled_deepslate_wall	深板岩圆石墙
polished_deepslate	磨制深板岩
polished_deepslate_slab	磨制深板岩台阶
polished_deepslate_stairs	磨制深板岩楼梯
polished_deepslate_wall	磨制深板岩墙
deepslate_tiles	深板岩瓦
deepslate_tile_slab	深板岩瓦台阶
deepslate_tile_stairs	深板岩瓦楼梯
deepslate_tile_wall	深板岩瓦墙
deepslate_bricks	深板岩砖
deepslate_brick_slab	深板岩砖台阶
deepslate_brick_stairs	深板岩砖楼梯
deepslate_brick_wall	深板岩砖墙
chiseled_deepslate	雕纹深板岩
cobbled_deepslate_double_slab	双层深板岩圆石台阶
polished_deepslate_double_slab	双层磨制深板岩台阶
deepslate_tile_double_slab	双层深板岩瓦台阶
deepslate_brick_double_slab	双层深板岩砖台阶
deepslate_lapis_lazuli_ore	深层青金石矿石
deepslate_iron_ore	深层铁矿石
deepslate_gold_ore	深层金矿石
deepslate_redstone_ore	深层红石矿石
lit_deepslate_redstone_ore	发光的深层红石矿石
deepslate_diamond_ore	深层钻石矿石
deepslate_coal_ore	深层煤矿石
deepslate_emerald_ore	深层绿宝石矿石
deepslate_copper_ore	深层铜矿石
cracked_deepslate_tiles	裂纹深板岩瓦
cracked_deepslate_bricks	裂纹深板岩砖
glow_lichen	发光地衣
candle	蜡烛
white_candle	白色蜡烛
orange_candle	橙色蜡烛
magenta_candle	品红色蜡烛
light_blue_candle	淡蓝色蜡烛
yellow_candle	黄色蜡烛
lime_candle	黄绿色蜡烛
pink_candle	粉红色蜡烛
gray_candle	灰色蜡烛
light_gray_candle	淡灰色蜡烛
cyan_candle	青色蜡烛
purple_candle	紫色蜡烛
blue_candle	蓝色蜡烛
brown_candle	棕色蜡烛
green_candle	绿色蜡烛
red_candle	红色蜡烛
black_candle	黑色蜡烛
candle_cake	插上蜡烛的蛋糕
white_candle_cake	插上白色蜡烛的蛋糕
orange_candle_cake	插上橙色蜡烛的蛋糕
magenta_candle_cake	插上品红色蜡烛的蛋糕
light_blue_candle_cake	插上淡蓝色蜡烛的蛋糕
yellow_candle_cake	插上黄色蜡烛的蛋糕
lime_candle_cake	插上黄绿色蜡烛的蛋糕
pink_candle_cake	插上粉红色蜡烛的蛋糕
gray_candle_cake	插上灰色蜡烛的蛋糕
light_gray_candle_cake	插上淡灰色蜡烛的蛋糕
cyan_candle_cake	插上青色蜡烛的蛋糕
purple_candle_cake	插上紫色蜡烛的蛋糕
blue_candle_cake	插上蓝色蜡烛的蛋糕
brown_candle_cake	插上棕色蜡烛的蛋糕
green_candle_cake	插上绿色蜡烛的蛋糕
red_candle_cake	插上红色蜡烛的蛋糕
black_candle_cake	插上黑色蜡烛的蛋糕
waxed_oxidized_copper	涂蜡的氧化铜块
waxed_oxidized_cut_copper	涂蜡的氧化切制铜块
waxed_oxidized_cut_copper_stairs	涂蜡的氧化切制铜楼梯
waxed_oxidized_cut_copper_slab	涂蜡的氧化切制铜台阶
waxed_oxidized_double_cut_copper_slab	涂蜡的氧化双切制铜台阶
raw_iron_block	粗铁块
raw_copper_block	粗铜块
raw_gold_block	粗金块
infested_deepslate	虫蚀深板岩
sculk	幽匿块
sculk_vein	幽匿脉络
sculk_catalyst	幽匿催发体
sculk_shrieker	幽匿尖啸体
reinforced_deepslate	强化深板岩
frog_spawn	青蛙卵
pearlescent_froglight	珠光蛙明灯
verdant_froglight	青翠蛙明灯
ochre_froglight	赭黄蛙明灯
mangrove_leaves	红树树叶
mud	泥巴
mangrove_propagule	红树胎生苗
mud_bricks	泥砖
packed_mud	泥坯
mud_brick_slab	泥砖台阶
mud_brick_double_slab	双层泥砖台阶
mud_brick_stairs	泥砖楼梯
mud_brick_wall	泥砖墙
mangrove_roots	红树根
muddy_mangrove_roots	沾泥的红树根
mangrove_log	红树原木
stripped_mangrove_log	去皮红树原木
mangrove_planks	红树木板
mangrove_button	红树木按钮
mangrove_stairs	红树木楼梯
mangrove_slab	红树木台阶
mangrove_pressure_plate	红树木压力板
mangrove_fence	红树木栅栏
mangrove_fence_gate	红树木栅栏门
mangrove_door	红树木门
mangrove_standing_sign	红树木告示牌
mangrove_wall_sign	墙上的红树木告示牌
mangrove_trapdoor	红树木活板门
mangrove_wood	红树木
stripped_mangrove_wood	去皮红树木
mangrove_double_slab	双层红树木台阶
oak_hanging_sign	橡木悬挂式告示牌
spruce_hanging_sign	云杉木悬挂式告示牌
birch_hanging_sign	白桦木悬挂式告示牌
jungle_hanging_sign	丛林木悬挂式告示牌
acacia_hanging_sign	金合欢木悬挂式告示牌
dark_oak_hanging_sign	深色橡木悬挂式告示牌
crimson_hanging_sign	绯红木悬挂式告示牌
warped_hanging_sign	诡异木悬挂式告示牌
mangrove_hanging_sign	红树木悬挂式告示牌
bamboo_mosaic	竹马赛克
bamboo_planks	竹板
bamboo_button	竹按钮
bamboo_stairs	竹楼梯
bamboo_slab	竹台阶
bamboo_pressure_plate	竹压力板
bamboo_fence	竹栅栏
bamboo_fence_gate	竹栅栏门
bamboo_door	竹门
bamboo_standing_sign	竹告示牌
bamboo_wall_sign	墙上的竹告示牌
bamboo_trapdoor	竹活板门
bamboo_double_slab	竹板
bamboo_hanging_sign	悬挂式竹告示牌
bamboo_mosaic_stairs	竹马赛克楼梯
bamboo_mosaic_slab	竹马赛克台阶
bamboo_mosaic_double_slab	双层竹马赛克台阶
chiseled_bookshelf	雕纹书架
bamboo_block	竹块
stripped_bamboo_block	去皮竹块
suspicious_sand	可疑的沙子
cherry_button	樱花木按钮
cherry_door	樱花木门
cherry_fence	樱花木栅栏
cherry_fence_gate	樱花木栅栏门
cherry_hanging_sign	悬挂式樱花木告示牌
stripped_cherry_log	去皮樱花原木
cherry_log	樱花原木
cherry_planks	樱花木板
cherry_pressure_Plate	樱花木压力板
cherry_slab	樱花木台阶
cherry_double_slab	双层樱花木台阶
cherry_stairs	樱花木楼梯
cherry_standing_sign	樱花木告示牌
cherry_trapdoor	樱花木活板门
cherry_wall_sign	墙上的樱花木告示牌
stripped_cherry_wood	去皮樱花木
cherry_wood	樱花木
cherry_sapling	樱花树苗
cherry_leaves	樱花树叶
pink_petals	粉红色花簇
decorated_pot	饰纹陶罐
light_gray_wool	淡灰色羊毛
gray_wool	灰色羊毛
black_wool	黑色羊毛
brown_wool	棕色羊毛
red_wool	红色羊毛
orange_wool	橙色羊毛
yellow_wool	黄色羊毛
lime_wool	黄绿色羊毛
green_wool	绿色羊毛
cyan_wool	青色羊毛
light_blue_wool	淡蓝色羊毛
blue_wool	蓝色羊毛
purple_wool	紫色羊毛
magenta_wool	品红色羊毛
pink_wool	粉红色羊毛
torchflower_crop	火把花植株
torchflower	火把花
spruce_log	云杉原木
birch_log	白桦原木
jungle_log	丛林原木
dark_oak_log	深色橡木原木
suspicious_gravel	可疑的沙砾
pitcher_crop	瓶子草植株
acacia_fence	金合欢木栅栏
birch_fence	白桦木栅栏
dark_oak_fence	深色橡木栅栏
jungle_fence	丛林木栅栏
spruce_fence	云杉木栅栏
calibrated_sculk_sensor	校频幽匿感测体
brain_coral	脑纹珊瑚
bubble_coral	气泡珊瑚
fire_coral	火珊瑚
horn_coral	鹿角珊瑚
dead_tube_coral	失活的管珊瑚
dead_brain_coral	失活的脑纹珊瑚
dead_bubble_coral	失活的气泡珊瑚
dead_fire_coral	失活的火珊瑚
dead_horn_coral	失活的鹿角珊瑚
sniffer_egg	嗅探兽蛋
orange_carpet	橙色地毯
magenta_carpet	品红色地毯
light_blue_carpet	淡蓝色地毯
yellow_carpet	黄色地毯
lime_carpet	黄绿色地毯
pink_carpet	粉红色地毯
gray_carpet	灰色地毯
light_gray_carpet	淡灰色地毯
cyan_carpet	青色地毯
purple_carpet	紫色地毯
blue_carpet	蓝色地毯
brown_carpet	棕色地毯
green_carpet	绿色地毯
red_carpet	红色地毯
black_carpet	黑色地毯
pitcher_plant	瓶子草
