























/ability	赋予或剥夺玩家的能力。
enchanted_golden_apple	附魔金苹果
mushroom_stew	蘑菇煲
bread	面包
porkchop	生猪排
cooked_porkchop	熟猪排
cod	生鳕鱼
salmon	生鲑鱼
tropical_fish	热带鱼
pufferfish	河豚
cooked_cod	熟鳕鱼
cooked_salmon	熟鲑鱼
dried_kelp	干海带
cookie	曲奇
melon_slice	西瓜
beef	生牛肉
cooked_beef	牛排
chicken	生鸡肉
cooked_chicken	熟鸡肉
rotten_flesh	腐肉
spider_eye	蜘蛛眼
carrot	胡萝卜
potato	马铃薯
baked_potato	烤马铃薯
poisonous_potato	毒马铃薯
golden_carrot	金胡萝卜
pumpkin_pie	南瓜派
beetroot	甜菜根
beetroot_soup	甜菜汤
sweet_berries	甜浆果
rabbit	生兔肉
cooked_rabbit	熟兔肉
rabbit_stew	兔肉煲
wheat_seeds	种子
pumpkin_seeds	南瓜种子
melon_seeds	西瓜种子
nether_wart	下界疣
beetroot_seeds	甜菜种子
torchflower_seeds	火把花种子
iron_shovel	铁锹
iron_pickaxe	铁镐
iron_axe	铁斧
flint_and_steel	打火石
bow	弓
arrow	箭
coal	煤炭
charcoal	木炭
diamond	钻石
iron_ingot	铁锭
gold_ingot	金锭
iron_sword	铁剑
wooden_sword	木剑
wooden_shovel	木锹
wooden_pickaxe	木镐
wooden_axe	木斧
stone_sword	石剑
stone_shovel	石锹
stone_pickaxe	石镐
stone_axe	石斧
diamond_sword	钻石剑
diamond_shovel	钻石锹
diamond_pickaxe	钻石镐
diamond_axe	钻石斧
stick	木棍
bowl	碗
golden_sword	金剑
golden_shovel	金锹
golden_pickaxe	金镐
golden_axe	金斧
string	线
feather	羽毛
gunpowder	火药
wooden_hoe	木锄
stone_hoe	石锄
iron_hoe	铁锄
diamond_hoe	钻石锄
golden_hoe	金锄
wheat	小麦
leather_helmet	皮革帽子
leather_chestplate	皮革外套
leather_leggings	皮革裤子
leather_boots	皮革靴子
chainmail_helmet	锁链头盔
chainmail_chestplate	锁链胸甲
chainmail_leggings	锁链护腿
chainmail_boots	锁链靴子
iron_helmet	铁头盔
iron_chestplate	铁胸甲
iron_leggings	铁护腿
iron_boots	铁靴子
diamond_helmet	钻石头盔
diamond_chestplate	钻石胸甲
diamond_leggings	钻石护腿
diamond_boots	钻石靴子
golden_helmet	金头盔
golden_chestplate	金胸甲
golden_leggings	金护腿
golden_boots	金靴子
shield	盾牌
flint	燧石
painting	画
oak_sign	橡木告示牌
wooden_door	橡木门
bucket	铁桶
milk_bucket	奶桶
water_bucket	水桶
lava_bucket	熔岩桶
cod_bucket	鳕鱼桶
salmon_bucket	鲑鱼桶
tropical_fish_bucket	热带鱼桶
pufferfish_bucket	河豚桶
powder_snow_bucket	细雪桶
axolotl_bucket	美西螈桶
minecart	矿车
saddle	鞍
iron_door	铁门
redstone	红石粉
snowball	雪球
oak_boat	橡木船
birch_boat	白桦木船
jungle_boat	丛林木船
spruce_boat	云杉木船
acacia_boat	金合欢木船
dark_oak_boat	深色橡木船
leather	皮革
kelp	海带
brick	红砖
clay_ball	黏土
sugar_cane	甘蔗
paper	纸
book	书
slime_ball	黏液球
chest_minecart	运输矿车
egg	鸡蛋
compass	指南针
fishing_rod	钓鱼竿
clock	时钟
glowstone_dust	荧石粉
black_dye	黑色染料
red_dye	红色染料
green_dye	绿色染料
brown_dye	棕色染料
blue_dye	蓝色染料
purple_dye	紫色染料
cyan_dye	青色染料
light_gray_dye	淡灰色染料
gray_dye	灰色染料
pink_dye	粉红色染料
lime_dye	黄绿色染料
yellow_dye	黄色染料
light_blue_dye	淡蓝色染料
magenta_dye	品红色染料
orange_dye	橙色染料
white_dye	白色染料
bone_meal	骨粉
cocoa_beans	可可豆
ink_sac	墨囊
lapis_lazuli	青金石
bone	骨头
sugar	糖
cake	蛋糕
bed	床
repeater	红石中继器
filled_map	地图
shears	剪刀
ender_pearl	末影珍珠
blaze_rod	烈焰棒
ghast_tear	恶魂之泪
gold_nugget	金粒
potion	药水
glass_bottle	玻璃瓶
fermented_spider_eye	发酵蛛眼
blaze_powder	烈焰粉
magma_cream	岩浆膏
brewing_stand	酿造台
cauldron	炼药锅
ender_eye	末影之眼
glistering_melon_slice	闪烁的西瓜片
chicken_spawn_egg	生成鸡
cow_spawn_egg	生成牛
pig_spawn_egg	生成猪
sheep_spawn_egg	生成绵羊
wolf_spawn_egg	生成狼
mooshroom_spawn_egg	生成哞菇
creeper_spawn_egg	生成苦力怕
enderman_spawn_egg	生成末影人
silverfish_spawn_egg	生成蠹虫
skeleton_spawn_egg	生成骷髅
slime_spawn_egg	生成史莱姆
spider_spawn_egg	生成蜘蛛
zombie_spawn_egg	生成僵尸
zombie_pigman_spawn_egg	生成僵尸猪灵
villager_spawn_egg	生成村民
squid_spawn_egg	生成鱿鱼
ocelot_spawn_egg	生成豹猫
witch_spawn_egg	生成女巫
bat_spawn_egg	生成蝙蝠
ghast_spawn_egg	生成恶魂
magma_cube_spawn_egg	生成岩浆怪
blaze_spawn_egg	生成烈焰人
cave_spider_spawn_egg	生成洞穴蜘蛛
horse_spawn_egg	生成马
rabbit_spawn_egg	生成兔子
endermite_spawn_egg	生成末影螨
guardian_spawn_egg	生成守卫者
stray_spawn_egg	生成流浪者
husk_spawn_egg	生成尸壳
wither_skeleton_spawn_egg	生成凋灵骷髅
donkey_spawn_egg	生成驴
mule_spawn_egg	生成骡
skeleton_horse_spawn_egg	生成骷髅马
zombie_horse_spawn_egg	生成僵尸马
shulker_spawn_egg	生成潜影贝
npc_spawn_egg	生成NPC
elder_guardian_spawn_egg	生成远古守卫者
polar_bear_spawn_egg	生成北极熊
llama_spawn_egg	生成羊驼
vindicator_spawn_egg	生成卫道士
evoker_spawn_egg	生成唤魔者
vex_spawn_egg	生成恼鬼
zombie_villager_spawn_egg	生成僵尸村民
parrot_spawn_egg	生成鹦鹉
tropical_fish_spawn_egg	生成热带鱼
cod_spawn_egg	生成鳕鱼
pufferfish_spawn_egg	生成河豚
salmon_spawn_egg	生成鲑鱼
drowned_spawn_egg	生成溺尸
dolphin_spawn_egg	生成海豚
turtle_spawn_egg	生成海龟
phantom_spawn_egg	生成幻翼
agent_spawn_egg	生成智能体
cat_spawn_egg	生成猫
panda_spawn_egg	生成熊猫
fox_spawn_egg	生成狐狸
pillager_spawn_egg	生成掠夺者
wandering_trader_spawn_egg	生成流浪商人
ravager_spawn_egg	生成劫掠兽
bee_spawn_egg	生成蜜蜂
strider_spawn_egg	生成炽足兽
hoglin_spawn_egg	生成疣猪兽
piglin_spawn_egg	生成猪灵
zoglin_spawn_egg	生成僵尸疣猪兽
piglin_brute_spawn_egg	生成猪灵蛮兵
sniffer_spawn_egg	生成嗅探兽
axolotl_spawn_egg	生成美西螈
goat_spawn_egg	生成山羊
glow_squid_spawn_egg	生成发光鱿鱼
iron_golem_spawn_egg	生成铁傀儡
snow_golem_spawn_egg	生成雪傀儡
ender_dragon_spawn_egg	生成末影龙
wither_spawn_egg	生成凋灵
glow_ink_sac	荧光墨囊
copper_ingot	铜锭
raw_iron	粗铁
raw_gold	粗金
raw_copper	粗铜
experience_bottle	附魔之瓶
fire_charge	火焰弹
writable_book	书与笔
written_book	成书
emerald	绿宝石
frame	物品展示框
flower_pot	花盆
empty_map	空地图
skull	生物头颅
carrot_on_a_stick	胡萝卜钓竿
nether_star	下界之星
firework_rocket	烟花火箭
firework_star	烟火之星
enchanted_book	附魔书
comparator	红石比较器
netherbrick	下界砖
quartz	下界石英
tnt_minecart	TNT矿车
hopper_minecart	漏斗矿车
hopper	漏斗
rabbit_foot	兔子脚
rabbit_hide	兔子皮
leather_horse_armor	皮革马铠
iron_horse_armor	铁马铠
golden_horse_armor	金马铠
diamond_horse_armor	钻石马铠
music_disc_13	音乐唱片（13）
music_disc_cat	音乐唱片（cat）
music_disc_blocks	音乐唱片（blocks）
music_disc_chirp	音乐唱片（chirp）
music_disc_far	音乐唱片（far）
music_disc_mall	音乐唱片（mall）
music_disc_mellohi	音乐唱片（mellohi）
music_disc_stal	音乐唱片（stal）
music_disc_strad	音乐唱片（strad）
music_disc_ward	音乐唱片（ward）
music_disc_11	音乐唱片（11）
music_disc_wait	音乐唱片（wait）
trident	三叉戟
lead	拴绳
name_tag	命名牌
prismarine_crystals	海晶砂粒
mutton	生羊肉
cooked_mutton	熟羊肉
armor_stand	盔甲架
spruce_door	云杉木门
birch_door	白桦木门
jungle_door	丛林木门
acacia_door	金合欢木门
dark_oak_door	深色橡木门
chorus_fruit	紫颂果
popped_chorus_fruit	爆裂紫颂果
dragon_breath	龙息
splash_potion	喷溅药水
lingering_potion	滞留药水
command_block_minecart	命令方块矿车
elytra	鞘翅
prismarine_shard	海晶碎片
shulker_shell	潜影壳
banner	旗帜
totem_of_undying	不死图腾
iron_nugget	铁粒
nautilus_shell	鹦鹉螺壳
heart_of_the_sea	海洋之心
scute	鳞甲
turtle_helmet	海龟壳
phantom_membrane	幻翼膜
crossbow	弩
spruce_sign	云杉木告示牌
birch_sign	白桦木告示牌
jungle_sign	丛林木告示牌
acacia_sign	金合欢木告示牌
dark_oak_sign	深色橡木告示牌
flower_banner_pattern	旗帜图案（花朵盾徽）
creeper_banner_pattern	旗帜图案（苦力怕盾徽）
skull_banner_pattern	旗帜图案（头颅盾徽）
mojang_banner_pattern	旗帜图案（Mojang徽标）
field_masoned_banner_pattern	旗帜图案（砖纹）
bordure_indented_banner_pattern	旗帜图案（波纹边）
piglin_banner_pattern	旗帜图案（猪鼻）
globe_banner_pattern	旗帜图案（地球）
campfire	营火
suspicious_stew	谜之炖菜
honeycomb	蜜脾
honey_bottle	蜂蜜瓶
camera	相机
compound	化合物
ice_bomb	冰弹
bleach	漂白剂
rapid_fertilizer	超级肥料
balloon	气球
medicine	药物
sparkler	烟花棒
glow_stick	荧光棒
lodestone_compass	磁石指针
netherite_ingot	下界合金锭
netherite_sword	下界合金剑
netherite_shovel	下界合金锹
netherite_pickaxe	下界合金镐
netherite_axe	下界合金斧
netherite_hoe	下界合金锄
netherite_helmet	下界合金头盔
netherite_chestplate	下界合金胸甲
netherite_leggings	下界合金护腿
netherite_boots	下界合金靴子
netherite_scrap	下界合金碎片
crimson_sign	绯红木告示牌
warped_sign	诡异木告示牌
crimson_door	绯红木门
warped_door	诡异木门
warped_fungus_on_a_stick	诡异菌钓竿
chain	锁链
music_disc_pigstep	音乐唱片（Pigstep）
nether_sprouts	下界苗
soul_campfire	灵魂营火
glow_frame	荧光物品展示框
amethyst_shard	紫水晶碎片
spyglass	望远镜
music_disc_otherside	音乐唱片（otherside）
goat_horn	山羊角
frog_spawn_egg	生成青蛙
tadpole_spawn_egg	生成蝌蚪
tadpole_bucket	蝌蚪桶
allay_spawn_egg	生成悦灵
warden_spawn_egg	生成监守者
mangrove_door	红树木门
mangrove_sign	红树木告示牌
mangrove_boat	红树木船
music_disc_	音乐唱片（）
disc_fragment_	唱片残片（）
oak_chest_boat	橡木运输船
birch_chest_boat	白桦木运输船
jungle_chest_boat	丛林木运输船
spruce_chest_boat	云杉木运输船
acacia_chest_boat	金合欢木运输船
dark_oak_chest_boat	深色橡木运输船
mangrove_chest_boat	红树木运输船
chest_boat	运输船
recovery_compass	追溯指针
echo_shard	回响碎片
trader_llama_spawn_egg	生成行商羊驼
cherry_boat	樱花木船
cherry_chest_boat	樱花木运输船

stone	石头
grass	草方块
dirt	泥土
cobblestone	圆石
planks	木板
sapling	树苗
bedrock	基岩
flowing_water	水
water	静态水
flowing_lava	熔岩
lava	静态熔岩
sand	沙子
gravel	沙砾
gold_ore	金矿石
iron_ore	铁矿石
coal_ore	煤矿石
oak_log	橡木原木
leaves	树叶
sponge	海绵
glass	玻璃
lapis_ore	青金石矿石
lapis_block	青金石块
dispenser	发射器
sandstone	砂岩
noteblock	音符盒
bed	床
golden_rail	动力铁轨
detector_rail	探测铁轨
sticky_piston	黏性活塞
web	蜘蛛网
tallgrass	草
deadbush	枯萎的灌木
piston	活塞
piston_arm_collision	活塞臂
white_wool	白色羊毛
yellow_flower	蒲公英
red_flower	花
brown_mushroom	棕色蘑菇
red_mushroom	红色蘑菇
gold_block	金块
iron_block	铁块
double_stone_slab	双石台阶
stone_slab	石台阶
brick_block	红砖块
tnt	TNT
bookshelf	书架
mossy_cobblestone	苔石
obsidian	黑曜石
torch	火把
fire	火
mob_spawner	刷怪笼
oak_stairs	橡木楼梯
chest	箱子
redstone_wire	红石线
diamond_ore	钻石矿石
diamond_block	钻石块
crafting_table		工作台
wheat	小麦
farmland	耕地
furnace	熔炉
lit_furnace	燃烧的熔炉
standing_sign	橡木告示牌
wooden_door	橡木门
ladder	梯子
rail	铁轨
stone_stairs	圆石楼梯
wall_sign	墙上的橡木告示牌
lever	拉杆
stone_pressure_plate	石头压力板
iron_door	铁门
wooden_pressure_plate	木质压力板
redstone_ore	红石矿石
lit_redstone_ore		发光的红石矿石
unlit_redstone_torch		熄灭的红石火把
redstone_torch		红石火把
stone_button		石头按钮
snow_layer		顶层雪
ice		冰
snow		雪
cactus		仙人掌
clay		黏土
reeds		甘蔗
jukebox		唱片机
oak_fence		橡木栅栏
pumpkin		南瓜
netherrack		下界岩
soul_sand		灵魂沙
glowstone	荧石
portal	下界传送门
lit_pumpkin	南瓜灯
cake	蛋糕
unpowered_repeater	未激活的中继器
powered_repeater	激活的中继器
invisible_bedrock	隐形基岩
trapdoor	活板门
monster_egg	虫蚀方块
stonebrick	石砖
brown_mushroom_block	棕色蘑菇方块
red_mushroom_block	红色蘑菇方块
iron_bars	铁栏杆
glass_pane	玻璃板
melon_block	西瓜
pumpkin_stem	南瓜梗
melon_stem	西瓜梗
vine	藤蔓
fence_gate	橡木栅栏门
brick_stairs	红砖楼梯
stone_brick_stairs	石砖楼梯
mycelium	菌丝体
waterlily	睡莲
nether_brick	下界砖
nether_brick_fence	下界砖栅栏
nether_brick_stairs	下界砖楼梯
nether_wart	下界疣
enchanting_table	附魔台
brewing_stand	酿造台
cauldron	炼药锅
end_portal	末地传送门
end_portal_frame	末地传送门框架
end_stone	末地石
dragon_egg	龙蛋
redstone_lamp	红石灯
lit_redstone_lamp	点亮的红石灯
dropper	投掷器
activator_rail	激活铁轨
cocoa	可可果
sandstone_stairs	砂岩楼梯
emerald_ore	绿宝石矿石
ender_chest	末影箱
tripwire_hook	绊线钩
trip_wire	绊线
emerald_block	绿宝石块
spruce_stairs	云杉木楼梯
birch_stairs	白桦木楼梯
jungle_stairs	丛林木楼梯
command_block	脉冲型命令方块
beacon	信标
cobblestone_wall	墙
flower_pot	花盆
carrots	胡萝卜
potatoes	马铃薯
wooden_button	橡木按钮
skull	生物头颅
anvil	铁砧
trapped_chest	陷阱箱
light_weighted_pressure_plate	测重压力板（轻质）
heavy_weighted_pressure_plate	测重压力板（重质）
unpowered_comparator	未激活的比较器
powered_comparator	激活的比较器
daylight_detector	阳光探测器
redstone_block	红石块
quartz_ore	下界石英矿石
hopper	漏斗
quartz_block	石英块
quartz_stairs	石英楼梯
double_wooden_slab	双层木台阶
wooden_slab	木质台阶
stained_hardened_clay	染色陶瓦
stained_glass_pane	染色玻璃板
leaves2	树叶2
acacia_log	金合欢原木
acacia_stairs	金合欢木楼梯
dark_oak_stairs	深色橡木楼梯
slime	黏液块
iron_trapdoor	铁活板门
prismarine	海晶石
sea_lantern	海晶灯
hay_block	干草捆
white_carpet	白色地毯
hardened_clay	陶瓦
coal_block	煤炭块
packed_ice	浮冰
double_plant	双层植物
standing_banner	站立的旗帜
wall_banner	墙上的旗帜
daylight_detector_inverted	反向阳光探测器
red_sandstone	红砂岩
red_sandstone_stairs	红砂岩楼梯
double_stone_block_slab	双石台阶
stone_slab	石台阶
spruce_fence_gate	云杉木栅栏门
birch_fence_gate	白桦木栅栏门
jungle_fence_gate	丛林木栅栏门
dark_oak_fence_gate	深色橡木栅栏门
acacia_fence_gate	金合欢木栅栏门
repeating_command_block	循环型命令方块
chain_command_block	连锁型命令方块
hard_glass_pane	强化玻璃板
hard_stained_glass_pane	染色强化玻璃板
chemical_heat	加热块
spruce_door	云杉木门
birch_door	白桦木门
jungle_door	丛林木门
acacia_door	金合欢木门
dark_oak_door	深色橡木门
grass_path	草径
frame	物品展示框
chorus_flower	紫颂花
purpur_block	紫珀块
colored_torch_rg	红色火把
purpur_stairs	紫珀楼梯
colored_torch_bp	蓝色火把
undyed_shulker_box	未染色的潜影盒
end_bricks	末地石砖
frosted_ice	霜冰
end_rod	末地烛
end_gateway	末地折跃门
allow	允许方块
deny	拒绝方块
border_block	边界方块
magma	岩浆块
nether_wart_block	下界疣块
red_nether_brick	红色下界砖块
bone_block	骨块
structure_void	结构空位
shulker_box	潜影盒
purple_glazed_terracotta	紫色带釉陶瓦
white_glazed_terracotta	白色带釉陶瓦
orange_glazed_terracotta	橙色带釉陶瓦
magenta_glazed_terracotta	品红色带釉陶瓦
light_blue_glazed_terracotta	淡蓝色带釉陶瓦
yellow_glazed_terracotta	黄色带釉陶瓦
lime_glazed_terracotta	黄绿色带釉陶瓦
pink_glazed_terracotta	粉红色带釉陶瓦
gray_glazed_terracotta	灰色带釉陶瓦
silver_glazed_terracotta	淡灰色带釉陶瓦
cyan_glazed_terracotta	青色带釉陶瓦
chalkboard	黑板
blue_glazed_terracotta	蓝色带釉陶瓦
brown_glazed_terracotta	棕色带釉陶瓦
green_glazed_terracotta	绿色带釉陶瓦
red_glazed_terracotta	红色带釉陶瓦
black_glazed_terracotta	黑色带釉陶瓦
concrete	混凝土
concrete_powder	混凝土粉末
chemistry_table	化合物创建器
underwater_torch	水下火把
chorus_plant	紫颂植株
stained_glass	染色玻璃
camera	相机
podzol	灰化土
beetroot	甜菜根
stonecutter	切石机
glowingobsidian	发光的黑曜石
netherreactor	下界反应核
oving_block	被活塞推动的方块
observer	侦测器
structure_block	结构方块
hard_glass	强化玻璃
hard_stained_glass	强化染色玻璃
prismarine_stairs	海晶石楼梯
dark_prismarine_stairs	暗海晶石楼梯
prismarine_bricks_stairs	海晶石砖楼梯
stripped_spruce_log	去皮云杉原木
stripped_birch_log	去皮白桦原木
stripped_jungle_log	去皮丛林原木
stripped_acacia_log	去皮金合欢原木
stripped_dark_oak_log	去皮深色橡木原木
stripped_oak_log	去皮橡木原木
blue_ice	蓝冰
seagrass	海草
tube_coral	管珊瑚
coral_block	珊瑚块
coral_fan	珊瑚扇
coral_fan_dead	失活的珊瑚扇
coral_fan_hang	墙上的珊瑚扇
coral_fan_hang	墙上的珊瑚扇
coral_fan_hang	墙上的珊瑚扇
kelp	海带
dried_kelp_block	干海带块
acacia_button	金合欢木按钮
birch_button	白桦木按钮
dark_oak_button	深色橡木按钮
jungle_button	丛林木按钮
spruce_button	云杉木按钮
acacia_trapdoor	金合欢木活板门
birch_trapdoor	白桦木活板门
dark_oak_trapdoor	深色橡木活板门
jungle_trapdoor	丛林木活板门
spruce_trapdoor	云杉木活板门
acacia_pressure_plate	金合欢木压力板
birch_pressure_plate	白桦木压力板
dark_oak_pressure_plate	深色橡木压力板
jungle_pressure_plate	丛林木压力板
spruce_pressure_plate	云杉木压力板
carved_pumpkin	雕刻南瓜
sea_pickle	海泡菜
conduit	潮涌核心
air	空气
turtle_egg	海龟蛋
bubble_column	气泡柱
barrier	屏障
stone_slab	石台阶
bamboo	竹子
bamboo_sapling	竹笋
scaffolding	脚手架
stone_slab	石台阶
double_stone_block_slab	双石台阶
double_stone_block_slab	双石台阶
granite_stairs	花岗岩楼梯
diorite_stairs	闪长岩楼梯
andesite_stairs	安山岩楼梯
polished_granite_stairs	磨制花岗岩楼梯
polished_diorite_stairs	磨制闪长岩楼梯
polished_andesite_stairs	磨制安山岩楼梯
mossy_stone_brick_stairs	苔石砖楼梯
smooth_red_sandstone_stairs	平滑红砂岩楼梯
smooth_sandstone_stairs	平滑砂岩楼梯
end_brick_stairs	末地石砖楼梯
mossy_cobblestone_stairs	苔石楼梯
normal_stone_stairs	石头楼梯
spruce_standing_sign	云杉木告示牌
spruce_wall_sign	墙上的云杉木告示牌
smooth_stone	平滑石头
red_nether_brick_stairs	红色下界砖楼梯
smooth_quartz_stairs	平滑石英楼梯
birch_standing_sign	白桦木告示牌
birch_wall_sign	墙上的白桦木告示牌
jungle_standing_sign	丛林木告示牌
jungle_wall_sign	墙上的丛林木告示牌
acacia_standing_sign	金合欢木告示牌
acacia_wall_sign	墙上的金合欢木告示牌
darkoak_standing_sign	深色橡木告示牌
darkoak_wall_sign	墙上的深色橡木告示牌
lectern	讲台
grindstone	砂轮
blast_furnace	高炉
stonecutter_block	切石机
smoker	烟熏炉
lit_smoker	燃烧的烟熏炉
cartography_table	制图台
fletching_table	制箭台
smithing_table	锻造台
barrel	木桶
loom	织布机
bell	钟
sweet_berry_bush	甜浆果丛
lantern	灯笼
campfire	营火
lava_cauldron	装有熔岩的炼药锅
jigsaw	拼图方块
wood	木头
composter	堆肥桶
lit_blast_furnace	燃烧的高炉
light_block	光源方块
wither_rose	凋灵玫瑰
sticky_piston_arm_collision	黏性活塞臂
bee_nest	蜂巢
beehive	蜂箱
honey_block	蜂蜜块
honeycomb_block	蜜脾块
lodestone	磁石
crimson_roots	绯红菌索
warped_roots	诡异菌索
crimson_stem	绯红菌柄
warped_stem	诡异菌柄
warped_wart_block	诡异疣块
crimson_fungus	绯红菌
warped_fungus	诡异菌
shroomlight	菌光体
weeping_vines	垂泪藤
crimson_nylium	绯红菌岩
warped_nylium	诡异菌岩
basalt	玄武岩
polished_basalt	磨制玄武岩
soul_soil	灵魂土
soul_fire	灵魂火
nether_sprouts	下界苗
target	标靶
stripped_crimson_stem	去皮绯红菌柄
stripped_warped_stem	去皮诡异菌柄
crimson_planks	绯红木板
warped_planks	诡异木板
crimson_door	绯红木门
warped_door	诡异木门
crimson_trapdoor	绯红木活板门
warped_trapdoor	诡异木活板门
crimson_standing_sign	绯红木告示牌
warped_standing_sign	诡异木告示牌
crimson_wall_sign	墙上的绯红木告示牌
warped_wall_sign	墙上的诡异木告示牌
crimson_stairs	绯红木楼梯
warped_stairs	诡异木楼梯
crimson_fence	绯红木栅栏
warped_fence	诡异木栅栏
crimson_fence_gate	绯红木栅栏门
warped_fence_gate	诡异木栅栏门
crimson_button	绯红木按钮
warped_button	诡异木按钮
crimson_pressure_plate	绯红木压力板
warped_pressure_plate	诡异木压力板
crimson_slab	绯红木台阶
warped_slab	诡异木台阶
crimson_double_slab	双层绯红木台阶
warped_double_slab	双层诡异木台阶
soul_torch	灵魂火把
soul_lantern	灵魂灯笼
netherite_block	下界合金块
ancient_debris	远古残骸
respawn_anchor	重生锚
blackstone	黑石
polished_blackstone_bricks	磨制黑石砖
polished_blackstone_brick_stairs	磨制黑石砖楼梯
blackstone_stairs	黑石楼梯
blackstone_wall	黑石墙
polished_blackstone_brick_wall	磨制黑石砖墙
chiseled_polished_blackstone	雕纹磨制黑石
cracked_polished_blackstone_bricks	裂纹磨制黑石砖
gilded_blackstone	镶金黑石
blackstone_slab	黑石台阶
blackstone_double_slab	双层黑石台阶
polished_blackstone_brick_slab	磨制黑石砖台阶
polished_blackstone_brick_double_slab	双层磨制黑石砖台阶
chain	锁链
twisting_vines	缠怨藤
nether_gold_ore	下界金矿石
crying_obsidian	哭泣的黑曜石
soul_campfire	灵魂营火
polished_blackstone	磨制黑石
polished_blackstone_stairs	磨制黑石楼梯
polished_blackstone_slab	磨制黑石台阶
polished_blackstone_double_slab	双层磨制黑石台阶
polished_blackstone_pressure_plate	磨制黑石压力板
polished_blackstone_button	磨制黑石按钮
polished_blackstone_wall	磨制黑石墙
warped_hyphae	诡异菌核
crimson_hyphae	绯红菌核
stripped_crimson_hyphae	去皮绯红菌核
stripped_warped_hyphae	去皮诡异菌核
chiseled_nether_bricks	雕纹下界砖块
cracked_nether_bricks	裂纹下界砖块
quartz_bricks	石英砖
unknown	未知
powder_snow	细雪
sculk_sensor	幽匿感测体
pointed_dripstone	滴水石锥
copper_ore	铜矿石
lightning_rod	避雷针
dripstone_block	滴水石块
dirt_with_roots	缠根泥土
hanging_roots	垂根
moss_block	苔藓块
spore_blossom	孢子花
cave_vines	洞穴藤蔓
big_dripleaf	大型垂滴叶
azalea_leaves	杜鹃树叶
azalea_leaves_flowered	盛开的杜鹃树叶
calcite	方解石
amethyst_block	紫水晶块
